Statistic,Quarter,State,value
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2016Q2,State,0.3
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2016Q3,State,-2.6
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2016Q4,State,1.7
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2017Q1,State,-1.5
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2017Q2,State,-0.1
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2017Q3,State,-2.4
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2017Q4,State,2.7
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2018Q1,State,-2.1
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2018Q2,State,-0.2
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2018Q3,State,-1.9
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2018Q4,State,4.5
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2019Q1,State,-2.3
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2019Q2,State,1
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2019Q3,State,-1.1
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2019Q4,State,4
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2020Q1,State,-3.9
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2020Q2,State,-7.5
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2020Q3,State,-6.7
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2020Q4,State,-2
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2021Q1,State,-6
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2021Q2,State,-2.4
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2021Q3,State,-2.2
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2021Q4,State,4.1
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2022Q1,State,-0.3
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2022Q2,State,1.3
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2022Q3,State,1.5
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2022Q4,State,4
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2023Q1,State,1.5
General Government Surplus/Deficit ESA2010 (as percentage of quarterly GDP),2023Q2,State,1.7
