Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross Domestic Fixed Capital Formation,4905
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Exports of Goods and Services (excluding Factor Income Flows),11583
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Imports of Goods and Services (excluding Factor Income Flows),-10521
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross Domestic Product at Market Prices,24576
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Gross National Product at Market Prices,22959
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Modified Final Domestic Demand,20192
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Personal Expenditure on Consumer Goods and Services,11236
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4088
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross Domestic Fixed Capital Formation,4507
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Exports of Goods and Services (excluding Factor Income Flows),11957
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Imports of Goods and Services (excluding Factor Income Flows),-10925
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross Domestic Product at Market Prices,24619
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Gross National Product at Market Prices,22623
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q4,Modified Final Domestic Demand,20238
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Personal Expenditure on Consumer Goods and Services,11389
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4576
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross Domestic Fixed Capital Formation,5551
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Exports of Goods and Services (excluding Factor Income Flows),12139
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Imports of Goods and Services (excluding Factor Income Flows),-10969
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross Domestic Product at Market Prices,26048
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Gross National Product at Market Prices,23957
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q1,Modified Final Domestic Demand,21148
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Personal Expenditure on Consumer Goods and Services,11523
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4413
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross Domestic Fixed Capital Formation,5766
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Exports of Goods and Services (excluding Factor Income Flows),12539
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Imports of Goods and Services (excluding Factor Income Flows),-11366
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross Domestic Product at Market Prices,26339
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Gross National Product at Market Prices,24514
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q2,Modified Final Domestic Demand,21404
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Personal Expenditure on Consumer Goods and Services,11742
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4423
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross Domestic Fixed Capital Formation,5584
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Exports of Goods and Services (excluding Factor Income Flows),13110
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Imports of Goods and Services (excluding Factor Income Flows),-11894
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross Domestic Product at Market Prices,25991
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Gross National Product at Market Prices,24215
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q3,Modified Final Domestic Demand,21669
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Personal Expenditure on Consumer Goods and Services,11992
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4203
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross Domestic Fixed Capital Formation,5233
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Exports of Goods and Services (excluding Factor Income Flows),13483
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Imports of Goods and Services (excluding Factor Income Flows),-12439
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross Domestic Product at Market Prices,26173
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Gross National Product at Market Prices,24000
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1996Q4,Modified Final Domestic Demand,21818
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Personal Expenditure on Consumer Goods and Services,12077
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4499
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross Domestic Fixed Capital Formation,6299
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Exports of Goods and Services (excluding Factor Income Flows),14305
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Imports of Goods and Services (excluding Factor Income Flows),-12936
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross Domestic Product at Market Prices,27900
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Gross National Product at Market Prices,25336
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q1,Modified Final Domestic Demand,22486
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Personal Expenditure on Consumer Goods and Services,12321
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4706
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross Domestic Fixed Capital Formation,6596
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Exports of Goods and Services (excluding Factor Income Flows),14786
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Imports of Goods and Services (excluding Factor Income Flows),-13294
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross Domestic Product at Market Prices,28947
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Gross National Product at Market Prices,26650
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q2,Modified Final Domestic Demand,23297
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Personal Expenditure on Consumer Goods and Services,12563
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4666
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross Domestic Fixed Capital Formation,6252
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Exports of Goods and Services (excluding Factor Income Flows),15500
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Imports of Goods and Services (excluding Factor Income Flows),-13840
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross Domestic Product at Market Prices,29263
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Gross National Product at Market Prices,27123
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q3,Modified Final Domestic Demand,23372
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Personal Expenditure on Consumer Goods and Services,13100
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,4761
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross Domestic Fixed Capital Formation,6660
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Exports of Goods and Services (excluding Factor Income Flows),15849
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Imports of Goods and Services (excluding Factor Income Flows),-14625
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross Domestic Product at Market Prices,29571
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Gross National Product at Market Prices,26994
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1997Q4,Modified Final Domestic Demand,24882
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Personal Expenditure on Consumer Goods and Services,13180
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4813
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross Domestic Fixed Capital Formation,6980
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Exports of Goods and Services (excluding Factor Income Flows),17970
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Imports of Goods and Services (excluding Factor Income Flows),-16822
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross Domestic Product at Market Prices,30721
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross National Product at Market Prices,28336
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Modified Final Domestic Demand,24556
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Personal Expenditure on Consumer Goods and Services,13521
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4862
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Fixed Capital Formation,7238
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Exports of Goods and Services (excluding Factor Income Flows),18820
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Imports of Goods and Services (excluding Factor Income Flows),-17186
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Product at Market Prices,31438
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross National Product at Market Prices,28828
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Modified Final Domestic Demand,25250
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Personal Expenditure on Consumer Goods and Services,13744
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5010
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Fixed Capital Formation,7211
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Exports of Goods and Services (excluding Factor Income Flows),20095
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Imports of Goods and Services (excluding Factor Income Flows),-18126
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Product at Market Prices,32444
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross National Product at Market Prices,29084
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Modified Final Domestic Demand,25793
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Personal Expenditure on Consumer Goods and Services,13907
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5096
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Fixed Capital Formation,7327
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Exports of Goods and Services (excluding Factor Income Flows),19930
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Imports of Goods and Services (excluding Factor Income Flows),-19215
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Product at Market Prices,31342
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross National Product at Market Prices,28403
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Modified Final Domestic Demand,26611
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Personal Expenditure on Consumer Goods and Services,14437
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5124
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Fixed Capital Formation,8005
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Exports of Goods and Services (excluding Factor Income Flows),20492
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Imports of Goods and Services (excluding Factor Income Flows),-18563
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Product at Market Prices,33568
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross National Product at Market Prices,30774
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Modified Final Domestic Demand,27072
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Personal Expenditure on Consumer Goods and Services,14440
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5171
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Fixed Capital Formation,8264
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Exports of Goods and Services (excluding Factor Income Flows),21888
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Imports of Goods and Services (excluding Factor Income Flows),-19989
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Product at Market Prices,34098
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross National Product at Market Prices,31042
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Modified Final Domestic Demand,27406
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Personal Expenditure on Consumer Goods and Services,15317
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5299
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Fixed Capital Formation,8708
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Exports of Goods and Services (excluding Factor Income Flows),23106
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Imports of Goods and Services (excluding Factor Income Flows),-20919
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Product at Market Prices,35228
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross National Product at Market Prices,30823
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Modified Final Domestic Demand,29071
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Personal Expenditure on Consumer Goods and Services,15296
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5304
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Fixed Capital Formation,7993
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Exports of Goods and Services (excluding Factor Income Flows),24230
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Imports of Goods and Services (excluding Factor Income Flows),-21771
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Product at Market Prices,35759
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross National Product at Market Prices,31492
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Modified Final Domestic Demand,28840
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Personal Expenditure on Consumer Goods and Services,16058
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5376
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Fixed Capital Formation,8927
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Exports of Goods and Services (excluding Factor Income Flows),25015
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Imports of Goods and Services (excluding Factor Income Flows),-22902
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Product at Market Prices,36424
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross National Product at Market Prices,32819
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Modified Final Domestic Demand,29859
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Personal Expenditure on Consumer Goods and Services,16440
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5535
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Fixed Capital Formation,8938
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Exports of Goods and Services (excluding Factor Income Flows),27297
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Imports of Goods and Services (excluding Factor Income Flows),-25088
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Product at Market Prices,37632
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross National Product at Market Prices,34619
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Modified Final Domestic Demand,30470
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Personal Expenditure on Consumer Goods and Services,16546
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5635
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Fixed Capital Formation,8601
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Exports of Goods and Services (excluding Factor Income Flows),28449
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Imports of Goods and Services (excluding Factor Income Flows),-25921
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Product at Market Prices,38260
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross National Product at Market Prices,33691
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Modified Final Domestic Demand,30535
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Personal Expenditure on Consumer Goods and Services,16699
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5982
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Fixed Capital Formation,8006
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Exports of Goods and Services (excluding Factor Income Flows),29806
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Imports of Goods and Services (excluding Factor Income Flows),-27878
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Product at Market Prices,38324
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross National Product at Market Prices,33455
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Modified Final Domestic Demand,30967
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Personal Expenditure on Consumer Goods and Services,17002
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5911
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Fixed Capital Formation,9548
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Exports of Goods and Services (excluding Factor Income Flows),32096
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Imports of Goods and Services (excluding Factor Income Flows),-29661
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Product at Market Prices,39351
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross National Product at Market Prices,35081
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Modified Final Domestic Demand,31782
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Personal Expenditure on Consumer Goods and Services,17345
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6071
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Fixed Capital Formation,9715
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Exports of Goods and Services (excluding Factor Income Flows),31211
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Imports of Goods and Services (excluding Factor Income Flows),-27914
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Product at Market Prices,39997
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross National Product at Market Prices,35175
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Modified Final Domestic Demand,32320
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Personal Expenditure on Consumer Goods and Services,17333
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6226
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Fixed Capital Formation,8971
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Exports of Goods and Services (excluding Factor Income Flows),31845
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Imports of Goods and Services (excluding Factor Income Flows),-28760
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Product at Market Prices,39679
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross National Product at Market Prices,34176
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Modified Final Domestic Demand,31811
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Personal Expenditure on Consumer Goods and Services,17692
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6548
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Fixed Capital Formation,8881
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Exports of Goods and Services (excluding Factor Income Flows),32467
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Imports of Goods and Services (excluding Factor Income Flows),-29342
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Product at Market Prices,40252
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross National Product at Market Prices,34564
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Modified Final Domestic Demand,32652
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Personal Expenditure on Consumer Goods and Services,17861
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6501
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Fixed Capital Formation,9796
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Exports of Goods and Services (excluding Factor Income Flows),35047
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Imports of Goods and Services (excluding Factor Income Flows),-31493
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Product at Market Prices,41451
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross National Product at Market Prices,35267
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Modified Final Domestic Demand,33115
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Personal Expenditure on Consumer Goods and Services,17932
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6557
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross Domestic Fixed Capital Formation,9810
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Exports of Goods and Services (excluding Factor Income Flows),33632
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Imports of Goods and Services (excluding Factor Income Flows),-31147
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross Domestic Product at Market Prices,41735
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross National Product at Market Prices,35854
